system,method,branch,valid_n,false_suppression_n,false_suppression_soft_n,false_suppression_hard_n,invalid_n,detected_n,detected_with_caveat_n,missed_failure_n,downgrade_n,downgrade_correct_n,downgrade_missed_n,downgrade_over_suppressed_n,not_applicable_n,detection_est,detection_lo,detection_hi,false_suppression_est,false_suppression_lo,false_suppression_hi,false_suppression_soft_est,false_suppression_soft_lo,false_suppression_soft_hi,false_suppression_hard_est,false_suppression_hard_lo,false_suppression_hard_hi,missed_failure_est,missed_failure_lo,missed_failure_hi,caveat_blindness_est,caveat_blindness_lo,caveat_blindness_hi
ising,B7_csvf_full,BRANCH_C,267,0,0,0,160,0,0,160,0,0,0,0,0,0.0,0.0,0.023446,0.0,0.0,0.014183,0.0,0.0,0.014183,0.0,0.0,0.014183,1.0,0.976554,1.0,,,
ising,B7_csvf_full,BRANCH_D,227,187,0,187,200,200,0,0,0,0,0,0,0,1.0,0.981155,1.0,0.823789,0.768957,0.867844,0.0,0.0,0.016641,0.823789,0.768957,0.867844,0.0,0.0,0.018845,,,
ising,B7_csvf_full,BRANCH_E,40,0,0,0,280,280,0,0,0,0,0,0,107,1.0,0.986466,1.0,0.0,0.0,0.087622,0.0,0.0,0.087622,0.0,0.0,0.087622,0.0,0.0,0.013534,,,
pooled,B0_schedule_only,BRANCH_A,720,80,0,80,134,0,0,134,0,0,0,0,0,0.0,0.0,0.027869,0.111111,0.090188,0.136162,0.0,0.0,0.005307,0.111111,0.090188,0.136162,1.0,0.972131,1.0,,,
pooled,B0_schedule_only,BRANCH_B,320,0,0,0,160,80,0,80,374,0,374,0,0,0.5,0.423439,0.576561,0.0,0.0,0.011862,0.0,0.0,0.011862,0.0,0.0,0.011862,0.5,0.423439,0.576561,1.0,0.989833,1.0
pooled,B0_schedule_only,BRANCH_C,534,0,0,0,320,0,0,320,0,0,0,0,0,0.0,0.0,0.011862,0.0,0.0,0.007142,0.0,0.0,0.007142,0.0,0.0,0.007142,1.0,0.988138,1.0,,,
pooled,B0_schedule_only,BRANCH_D,454,0,0,0,400,0,0,400,0,0,0,0,0,0.0,0.0,0.009512,0.0,0.0,0.00839,0.0,0.0,0.00839,0.0,0.0,0.00839,1.0,0.990488,1.0,,,
pooled,B0_schedule_only,BRANCH_E,80,0,0,0,560,0,0,560,0,0,0,0,214,0.0,0.0,0.006813,0.0,0.0,0.045818,0.0,0.0,0.045818,0.0,0.0,0.045818,1.0,0.993187,1.0,,,
pooled,B1_outcome_aa,BRANCH_A,720,80,0,80,134,0,0,134,0,0,0,0,0,0.0,0.0,0.027869,0.111111,0.090188,0.136162,0.0,0.0,0.005307,0.111111,0.090188,0.136162,1.0,0.972131,1.0,,,
pooled,B1_outcome_aa,BRANCH_B,320,0,0,0,160,80,0,80,374,0,374,0,0,0.5,0.423439,0.576561,0.0,0.0,0.011862,0.0,0.0,0.011862,0.0,0.0,0.011862,0.5,0.423439,0.576561,1.0,0.989833,1.0
pooled,B1_outcome_aa,BRANCH_C,534,0,0,0,320,0,0,320,0,0,0,0,0,0.0,0.0,0.011862,0.0,0.0,0.007142,0.0,0.0,0.007142,0.0,0.0,0.007142,1.0,0.988138,1.0,,,
pooled,B1_outcome_aa,BRANCH_D,454,0,0,0,400,0,0,400,0,0,0,0,0,0.0,0.0,0.009512,0.0,0.0,0.00839,0.0,0.0,0.00839,0.0,0.0,0.00839,1.0,0.990488,1.0,,,
pooled,B1_outcome_aa,BRANCH_E,80,0,0,0,560,0,0,560,0,0,0,0,214,0.0,0.0,0.006813,0.0,0.0,0.045818,0.0,0.0,0.045818,0.0,0.0,0.045818,1.0,0.993187,1.0,,,
pooled,B2_trace_aa,BRANCH_A,720,80,0,80,134,0,0,134,0,0,0,0,0,0.0,0.0,0.027869,0.111111,0.090188,0.136162,0.0,0.0,0.005307,0.111111,0.090188,0.136162,1.0,0.972131,1.0,,,
pooled,B2_trace_aa,BRANCH_B,320,0,0,0,160,80,0,80,374,0,374,0,0,0.5,0.423439,0.576561,0.0,0.0,0.011862,0.0,0.0,0.011862,0.0,0.0,0.011862,0.5,0.423439,0.576561,1.0,0.989833,1.0
pooled,B2_trace_aa,BRANCH_C,534,0,0,0,320,80,0,240,0,0,0,0,0,0.25,0.205711,0.30022,0.0,0.0,0.007142,0.0,0.0,0.007142,0.0,0.0,0.007142,0.75,0.69978,0.794289,,,
pooled,B2_trace_aa,BRANCH_D,454,0,0,0,400,0,0,400,0,0,0,0,0,0.0,0.0,0.009512,0.0,0.0,0.00839,0.0,0.0,0.00839,0.0,0.0,0.00839,1.0,0.990488,1.0,,,
pooled,B2_trace_aa,BRANCH_E,80,0,0,0,560,0,0,560,0,0,0,0,214,0.0,0.0,0.006813,0.0,0.0,0.045818,0.0,0.0,0.045818,0.0,0.0,0.045818,1.0,0.993187,1.0,,,
pooled,B3_within_seed_reps,BRANCH_A,720,80,0,80,134,0,0,134,0,0,0,0,0,0.0,0.0,0.027869,0.111111,0.090188,0.136162,0.0,0.0,0.005307,0.111111,0.090188,0.136162,1.0,0.972131,1.0,,,
pooled,B3_within_seed_reps,BRANCH_B,320,0,0,0,160,80,0,80,374,0,374,0,0,0.5,0.423439,0.576561,0.0,0.0,0.011862,0.0,0.0,0.011862,0.0,0.0,0.011862,0.5,0.423439,0.576561,1.0,0.989833,1.0
pooled,B3_within_seed_reps,BRANCH_C,534,454,0,454,320,280,0,40,0,0,0,0,0,0.875,0.834258,0.906845,0.850187,0.817421,0.877951,0.0,0.0,0.007142,0.850187,0.817421,0.877951,0.125,0.093155,0.165742,,,
pooled,B3_within_seed_reps,BRANCH_D,454,0,0,0,400,0,0,400,0,0,0,0,0,0.0,0.0,0.009512,0.0,0.0,0.00839,0.0,0.0,0.00839,0.0,0.0,0.00839,1.0,0.990488,1.0,,,
pooled,B3_within_seed_reps,BRANCH_E,80,0,0,0,560,0,0,560,0,0,0,0,214,0.0,0.0,0.006813,0.0,0.0,0.045818,0.0,0.0,0.045818,0.0,0.0,0.045818,1.0,0.993187,1.0,,,
pooled,B4_unpaired,BRANCH_A,720,0,0,0,134,0,0,134,0,0,0,0,0,0.0,0.0,0.027869,0.0,0.0,0.005307,0.0,0.0,0.005307,0.0,0.0,0.005307,1.0,0.972131,1.0,,,
