system,scenario,procedure,n,metric,estimate,mcse,B,status
holdem,S4,welch,20,alt_coverage,0.9485,0.004942,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S4,welch,20,null_coverage,0.9405,0.00529,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S4,paired_t,40,power,0.1535,0.00806,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S4,paired_t,40,typeI,0.051,0.004919,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S4,paired_t,40,alt_coverage,0.9505,0.00485,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S4,paired_t,40,null_coverage,0.949,0.004919,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S4,welch,40,power,0.1375,0.0077,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S4,welch,40,typeI,0.045,0.004635,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S4,welch,40,alt_coverage,0.947,0.00501,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S4,welch,40,null_coverage,0.955,0.004635,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S4,paired_t,80,power,0.2585,0.00979,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S4,paired_t,80,typeI,0.0545,0.005076,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S4,paired_t,80,alt_coverage,0.951,0.004827,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S4,paired_t,80,null_coverage,0.9455,0.005076,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S4,welch,80,power,0.236,0.009495,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S4,welch,80,typeI,0.049,0.004827,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S4,welch,80,alt_coverage,0.9535,0.004708,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S4,welch,80,null_coverage,0.951,0.004827,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S8,paired_t,10,power,0.0785,0.006014,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S8,paired_t,10,typeI,0.0585,0.005248,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S8,paired_t,10,alt_coverage,0.951,0.004827,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S8,paired_t,10,null_coverage,0.9415,0.005248,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S8,welch,10,power,0.0915,0.006447,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S8,welch,10,typeI,0.062,0.005392,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S8,welch,10,alt_coverage,0.9405,0.00529,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S8,welch,10,null_coverage,0.938,0.005392,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S8,paired_t,20,power,0.135,0.007641,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S8,paired_t,20,typeI,0.0475,0.004756,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S8,paired_t,20,alt_coverage,0.9425,0.005205,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S8,paired_t,20,null_coverage,0.9525,0.004756,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S8,welch,20,power,0.1435,0.007839,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S8,welch,20,typeI,0.056,0.005141,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S8,welch,20,alt_coverage,0.952,0.00478,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S8,welch,20,null_coverage,0.944,0.005141,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S8,paired_t,40,power,0.237,0.009509,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S8,paired_t,40,typeI,0.0385,0.004302,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S8,paired_t,40,alt_coverage,0.9435,0.005163,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S8,paired_t,40,null_coverage,0.9615,0.004302,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S8,welch,40,power,0.236,0.009495,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S8,welch,40,typeI,0.045,0.004635,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S8,welch,40,alt_coverage,0.95,0.004873,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S8,welch,40,null_coverage,0.955,0.004635,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S8,paired_t,80,power,0.4185,0.011031,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S8,paired_t,80,typeI,0.053,0.00501,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S8,paired_t,80,alt_coverage,0.9485,0.004942,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S8,paired_t,80,null_coverage,0.947,0.00501,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S8,welch,80,power,0.438,0.011094,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S8,welch,80,typeI,0.0485,0.004804,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S8,welch,80,alt_coverage,0.9565,0.004561,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S8,welch,80,null_coverage,0.9515,0.004804,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S0,paired_t,10,power,1.0,0.0,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S0,paired_t,10,typeI,0.13,0.00752,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S0,paired_t,10,alt_coverage,0.868,0.007569,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S0,paired_t,10,null_coverage,0.87,0.00752,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S0,welch,10,power,1.0,0.0,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S0,welch,10,typeI,0.12,0.007266,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S0,welch,10,alt_coverage,0.872,0.00747,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S0,welch,10,null_coverage,0.88,0.007266,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S0,paired_t,20,power,1.0,0.0,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S0,paired_t,20,typeI,0.0955,0.006572,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S0,paired_t,20,alt_coverage,0.904,0.006587,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S0,paired_t,20,null_coverage,0.9045,0.006572,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S0,welch,20,power,1.0,0.0,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S0,welch,20,typeI,0.085,0.006236,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S0,welch,20,alt_coverage,0.9145,0.006253,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S0,welch,20,null_coverage,0.915,0.006236,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S0,paired_t,40,power,1.0,0.0,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S0,paired_t,40,typeI,0.0725,0.005798,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S0,paired_t,40,alt_coverage,0.9325,0.00561,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S0,paired_t,40,null_coverage,0.9275,0.005798,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S0,welch,40,power,1.0,0.0,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S0,welch,40,typeI,0.064,0.005473,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S0,welch,40,alt_coverage,0.9315,0.005648,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S0,welch,40,null_coverage,0.936,0.005473,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S0,paired_t,80,power,1.0,0.0,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S0,paired_t,80,typeI,0.0535,0.005032,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S0,paired_t,80,alt_coverage,0.937,0.005433,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S0,paired_t,80,null_coverage,0.9465,0.005032,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
